issue	layer	title
#466	1	MacLane VI.2: The power-set monad and complete semilattices (Manes)
#467	1	MacLane VI.2: The Eilenberg–Moore forgetful functor creates limits
#471	1	MacLane VI.4: The monoid monad W₀ and monoids as its algebras
#482	1	MacLane VI.7: Comparison of adjunctions defining the same monad (definition and uniqueness)
#483	1	MacLane VI.7: The graded weak and precise tripleability construction (left adjoint to K, unit/counit isos, algebra presentation)
#497	1	MacLane VII.2: The coherence theorem for monoidal categories
#498	1	MacLane VII.2: The free monoidal category on a set
#506	1	MacLane VII.4: Limits and colimits in the category of modules
#507	1	MacLane VII.4: The relative tensor product of a right module by a left module
#508	1	MacLane VII.4: Comodules over a comonoid object
#511	1	MacLane VII.4: A monoidal category acting on a category (actegories)
#512	1	MacLane VII.5: The simplicial category Δ as the free strict monoidal category on a monoid
#520	1	MacLane VII.7: Coherence for symmetric monoidal categories, and product/coproduct as symmetric tensor
#521	1	MacLane VII.8: The compact-open function space and the local-compactness exponential law
#522	1	MacLane VII.8: Compactly generated Hausdorff spaces and the Kelleyfication coreflection
#526	1	MacLane VII.9: The category of pointed objects and the pointed function space
#537	1	MacLane VIII.2: Additive functors are exactly the biproduct-preserving functors
#542	1	MacLane VIII.3: Abelian categories are finitely (co)complete and balanced
#545	1	MacLane VIII.3: Exact sequences and short exact sequences
#550	1	MacLane VIII.3: Subquotients and the ker/im ≅ coim/coker isomorphism
#560	1	MacLane IX.1: Small coproducts from finite coproducts and directed colimits
#561	1	MacLane IX.1: Algebraic forgetful functors create filtered colimits
#565	1	MacLane IX.2: Pseudo-filtered categories
#567	1	MacLane IX.3: Final (cofinal) functors and final subcategories
#573	1	MacLane IX.4: Composition calculus for dinatural transformations
#576	1	MacLane IX.5: Existence of ends from completeness and from products and equalizers
#582	1	MacLane IX.7: The Parameter Theorem for ends and coends
#586	1	MacLane X.1: Formal criteria for representability and universal arrows (Bénabou)
#590	1	MacLane X.3: Existence of Kan extensions from completeness and the global adjoint to precomposition
#591	1	MacLane X.3: Fully faithful K — an invertible Kan counit and extension along an inclusion
#592	1	MacLane X.3: Kan extensions between sets — images, representables, and non-existence
#608	1	MacLane XI.2: The word-indexed comparison transformation F_v of a monoidal functor
#611	1	MacLane XI.3: The tensoring functor T : M ⟶ [M,M] and an independent strictification proof (Exercises 2–3)
#618	1	MacLane XII.1: Internal functors and internal natural transformations
#619	1	MacLane XII.1: Internal diagrams (left C-objects) and their morphisms
#620	1	MacLane XII.1: Category objects in Grp are group objects in Cat, and the interchange of internalizations
#623	1	MacLane XII.3: The hom-category (Cat-enriched) formulation of a 2-category
#626	1	MacLane XII.4: 2-functors and 2-natural transformations (strict)
#629	1	MacLane XII.5: Single-set (arrows-only) categories and functors via source/target operators
#635	1	MacLane XII.8: Crossed modules of groups
#637	1	MacLane App.1: Natural-numbers object
#643	1	Awodey 1.5: Automorphism groups, permutation groups, and Cayley's theorem
#645	1	Awodey 1.9 Ex 3: Isomorphisms versus bijective homomorphisms in Sets, Mon, and Pos
#648	1	Awodey 2.1: Monomorphisms in Mon are exactly the injective homomorphisms
#652	1	Awodey 2.2: Initial and terminal objects in slice categories, coslices, and posets
#654	1	Awodey 2.3: Filters, ultrafilters, and the correspondence between Boolean homomorphisms to 2 and ultrafilters
#657	1	Awodey 2.4: The categorical axiom of choice and projective objects in Sets and Pos
#662	1	Awodey 3.5 Ex 5: The category of posets has all coequalizers
#665	1	Awodey 4.3–4.4: Coequalizers of functors in Cat via congruence quotients
#666	1	Awodey 4.4: Finitely presented example categories — the walking isomorphism, Z/2Z, cyclic groups, and presentations of the category 3
#667	1	Awodey 4.1: Group objects in Sets, Top, and Pos recover ordinary, topological, and ordered groups
#668	1	Awodey 4.5 Ex 2: Internal groups in a slice Sets/I as an I-indexed family of groups
#670	1	Awodey 5.1: Functoriality of subobjects — direct image along a mono, and monotonicity of reindexing
#674	1	Awodey 5.6: The cumulative hierarchy as an ω-colimit, and the functoriality of V_ω
#675	1	Awodey 5.6: ω-CPOs and continuous monotone maps
#678	1	Awodey 5.7 Ex 4: The category of partial maps Par(C) over a category with pullbacks
#680	1	Awodey 6.2: Pos is cartesian closed — the componentwise product and the pointwise-ordered monotone function space
#682	1	Awodey 6.2/6.6 Ex 3: The unit of the currying adjunction (− × B) ⊣ (−)^B, and the global points of an exponential
#684	1	Awodey 6.3: Complete lattices — meets give joins, and the infinite distributive law as the Heyting criterion
#686	1	Awodey 6.3: The full IPC entailment calculus and the Lindenbaum–Tarski Heyting algebra
#691	1	Awodey 6.5: The category of types C(L) of a λ-theory, and its cartesian closed structure
#692	1	Awodey 6.5: Models of a λ-theory in a cartesian closed category, and the λ-theory of monoids
#697	1	Awodey 7.1: Injectivity and surjectivity of a functor on objects and on arrows
#698	1	Awodey 7.1: Monoids, groups, posets and sets embed fully and faithfully in Cat
#716	1	Awodey 8.6: The category of elements is equivalent to the Yoneda slice y/P
#718	1	Awodey 8.7: Exponentials of presheaves and cartesian closure of Sets^(C^op)
#743	1	Awodey 10.4: Adjoint triples — the induced monad, the induced comonad, and T ⊣ G
#747	1	Awodey 10.5: Group structures as algebras for 1 + X + X × X, and signatures as polynomial endofunctors
#749	1	Awodey 10.5: Initial algebras unwound — binary trees, term trees, and length by initiality
#229	2	MacLane I.3: Commutator subgroup and abelianization functors
#230	2	MacLane I.3: The center of a group is not functorial
#236	2	MacLane I.4: Character groups and duality of finite abelian groups
#249	2	MacLane I.5: The fundamental groupoid of a topological space
#257	2	MacLane I.7: Rng, the category of rings
#263	2	MacLane I.7: Concrete categories
#265	2	MacLane I.8: The tensor product of abelian groups and Ab-enrichment
#281	2	MacLane II.4: Graded abelian groups as Ab^N
#298	2	MacLane II.7: The free groupoid on a graph and free groups
#329	2	MacLane III.3: Chain unions as colimits and the cocompleteness of Sets
#330	2	MacLane III.3: An abelian group is the colimit of its finitely generated subgroups
#348	2	MacLane IV.1: A left adjoint exists exactly when the hom-functors are representable
#354	2	MacLane IV.2: Units and counits of the equalizer, coequalizer, pullback and pushout adjunctions
#355	2	MacLane IV.2: Limits over a disjoint union of index categories, and connected components
#356	2	MacLane IV.2: Limits and colimits of a constant functor over a connected index category
#365	2	MacLane IV.2: A left adjoint to the coslice projection
#366	2	MacLane IV.2: Copowers and powers as an adjunction with a parameter
#367	2	MacLane IV.3: Fullness and faithfulness of a right adjoint through its counit
#371	2	MacLane IV.3: Torsion-free abelian groups form a reflective subcategory
#375	2	MacLane IV.4: An isomorphism-dense full subcategory is reflective
#382	2	MacLane IV.5: The powerset preorder and the direct-image/inverse-image adjunction
#386	2	MacLane IV.5: Closed elements of a Galois connection and the fixed points of an adjunction
#387	2	MacLane IV.5: Base change is right adjoint to composition on slices
#399	2	MacLane IV.8: Horizontal composition of conjugate pairs makes Adj two-dimensional
#402	2	MacLane IV.9: A subobject classifier for the category of sets
#407	2	MacLane V.1: Completeness of Sets by cone sets
#414	2	MacLane V.1: Cat is small-complete
#417	2	MacLane V.2: Finite index categories and finite limits
#420	2	MacLane V.2: Limit as a functor on the category of diagrams
#421	2	MacLane V.2: Manes' criterion for completeness
#426	2	MacLane V.3: Pointwise limits as creation along the discrete inclusion
#430	2	MacLane V.4: The free abelian group functor is not continuous
#431	2	MacLane V.5: Adjunctions and limits in functor categories
#436	2	MacLane V.6: The Freyd adjoint functor theorem as a characterization
#439	2	MacLane V.6: Creation of limits is stable under pullback in Cat
#453	2	MacLane V.8: The special adjoint functor theorem as a characterization
#457	2	MacLane V.9: Subspace and quotient topologies as sliced adjoint inverses
#459	2	MacLane V.9: Collapsing a subset and the category of pairs
#462	2	MacLane V.9: The connected-components functor
#469	2	MacLane VI.3: The discrete-space adjunction induces the identity monad — a non-monadic example
#476	2	MacLane VI.5: The category of resolutions of a monad — Kleisli initial, Eilenberg–Moore terminal
#484	2	MacLane VI.7: Complete Beck's monadicity theorem (isomorphism conclusion, absolute-coequalizer condition, general converse)
#499	2	MacLane VII.2: The associahedron of canonical maps
#501	2	MacLane VII.3: The general associative law and coherence for monoids
#509	2	MacLane VII.4: Coherence for a module action
#513	2	MacLane VII.5: The arrow calculus of Δ — factorization, generators and relations
#515	2	MacLane VII.5: Simplicial sets and simplicial objects
#523	2	MacLane VII.8: CGHaus is complete and cocomplete
#527	2	MacLane VII.9: The smash product and the smash–hom adjunction on pointed spaces
#529	2	MacLane VII.9: The left adjoint of the pointed-hom functor on pointed sets
#531	2	MacLane VIII.1: The kernel–cokernel Galois connection
#538	2	MacLane VIII.2: The infinite canonical coproduct-to-product map need not be an isomorphism
#546	2	MacLane VIII.3: Exact and left-exact functors
#548	2	MacLane VIII.3: (Finite) abelian groups are abelian; free abelian groups are not
#552	2	MacLane VIII.4: Pullbacks of epimorphisms and of short exact sequences
#553	2	MacLane VIII.4: The additive category Ses A of short exact sequences
#557	2	MacLane VIII.4: Chain complexes and homology objects
#562	2	MacLane IX.1: Grp is cocomplete
#563	2	MacLane IX.2: Finite limits commute with filtered colimits in Set
#566	2	MacLane IX.2: Coproducts commute with pullbacks, and pseudo-filtered colimits commute with pullbacks, in Set
#568	2	MacLane IX.3: Final functors preserve colimits (and initial functors, limits)
#571	2	MacLane IX.4: The unit and counit of a parametrized adjunction are (di)natural in the parameter
#583	2	MacLane IX.7: A limit in a functor category that is not pointwise (Dubuc)
#584	2	MacLane IX.8: The Fubini theorem and interchange of iterated ends
#593	2	MacLane X.4: Kan extensions as (co)ends — the pointwise coend and end formulas
#598	2	MacLane X.5: Preservation of Kan extensions; right adjoints and representables preserve them
#602	2	MacLane X.6: Density as a coend of copowers
#624	2	MacLane XII.3: The homotopy 2-category of topological spaces
#627	2	MacLane XII.4: The 2-category 2-Cat
#630	2	MacLane XII.5: Single-set n-categories and ω-categories
#636	2	MacLane XII.8: Crossed modules are equivalent to category objects in Grp
#638	2	MacLane App.1: ETCS — well-pointed topos with choice and a natural-numbers object
#649	2	Awodey 2.1: The inclusion of the additive monoid of naturals into the integers is a non-surjective epimorphism
#661	2	Awodey 3.5 Ex 6: Kernel relations, quotients, and generated equivalence relations in Sets
#673	2	Awodey 5.3/5.5: Slices of Sets as indexed families — reindexing as pullback, and its preservation of coproducts
#676	2	Awodey 5.6: Least fixed points of continuous maps on an ω-CPO (Kleene iteration)
#677	2	Awodey 5.6: Colimits depend on the ambient category — the chain of finite ω-CPOs in Pos and in ωCPO
#681	2	Awodey 6.2/6.6 Ex 4: ω-CPOs are cartesian closed, and strict ω-CPOs are not
#687	2	Awodey 6.3/6.6 Ex 5: Derived entailment rules and the three implication axioms of positive IPC
#688	2	Awodey 6.3: Heyting algebras presented by generators and relations — the universal property of HA(L)
#693	2	Awodey 6.5: The universal property of C(L) — the free cartesian closed category on a λ-theory
#694	2	Awodey 6.5/6.6 Ex 6: Completeness of the λ-calculus for cartesian closed models, and the degeneracy of Sets-models
#695	2	Awodey 6.5: The internal language L(C) of a cartesian closed category, and the isomorphism C(L(C)) ≅ C
#706	2	Awodey 7.7: The functor category of two posets is the exponential poset, and Pos ⟶ Cat preserves cartesian closed structure
#707	2	Awodey 7.7: The category Grpd of groupoids is cartesian closed and its inclusion into Cat preserves the structure
#708	2	Awodey 7.9: The category of partial maps is equivalent to the category of pointed sets
#710	2	Awodey 7.10 Ex 3: The forgetful functors Grp ⟶ Mon ⟶ Sets — fullness, faithfulness and (non-)surjectivity
#711	2	Awodey 7.10 Ex 4: The Alexandroff topology as a functor Pos ⟶ Top
#712	2	Awodey 7.10 Ex 5: The full-image factorization of a functor, and its comparison with the bijective-on-objects factorization
#720	2	Awodey 8.9 Ex 4: The Yoneda embedding preserves products and exponentials
#724	2	Awodey 9.1/9.9 Ex 3: Binary products and coproducts from an adjoint to the diagonal functor
#725	2	Awodey 9.1: The lower-set completion is left adjoint to the forgetful functor from cocomplete posets
#726	2	Awodey 9.2/9.8: Recovering universal arrows from an adjunction — each unit component is initial in the comma category
#729	2	Awodey 9.7: Change of base for indexed families of sets — the adjoint triple with its fibrewise formulas
#731	2	Awodey 9.7: Structure on slice categories — the domain functor, products from pullbacks, and C ≅ C/1
#737	2	Awodey 9.8: The adjoint functor theorem for complete posets — a join-preserving monotone map has a right adjoint
#738	2	Awodey 9.8/9.9 Ex 10: Recursion from a natural numbers object — arithmetic, functor iteration, and exponentiation in a cartesian closed category
#744	2	Awodey 10.4: The comonad Δ∘lim on a diagram category, and Sets as its coalgebras
#748	2	Awodey 10.5/10.6 Ex 2: Lambek's lemma — the initial algebra structure map is an isomorphism
#221	3	MacLane I.2: The matrix category Matr_K
#232	3	MacLane I.3: The field of quotients as a functor
#258	3	MacLane I.7: Module categories R-Mod and friends
#275	3	MacLane II.3: The ring of continuous functions as a contravariant functor
#286	3	MacLane II.5: Loop interchange and the abelian fundamental group of a topological group
#293	3	MacLane II.6: Commutative K-algebras as a coslice of commutative rings
#312	3	MacLane III.1: Universal arrows to the standard forgetful functors
#362	3	MacLane IV.2: Adjoining an identity to a ring as a left adjoint
