item_id	classification	issue	projects	evidence_or_note
maclane:II.6:ex2	ABSENT	#289	4	MacLane II.6: Comma-category specializations
maclane:II.6:construction1	PARTIAL	#290	4	MacLane II.6: The comma diagram over the arrow category and its universal property
maclane:II.6:ex3	PARTIAL	#290	4	MacLane II.6: The comma diagram over the arrow category and its universal property
maclane:II.6:ex5	ABSENT	#290	4	MacLane II.6: The comma diagram over the arrow category and its universal property
maclane:II.6:ex4	PARTIAL	#291	4	MacLane II.6: The Huq correspondence is a bijection
maclane:II.6:ex6	PARTIAL	#292	4	MacLane II.6: Functoriality of the comma construction
maclane:II.6:ex1	ABSENT	#293	4	MacLane II.6: Commutative K-algebras as a coslice of commutative rings
maclane:II.7:def2	ABSENT	#294	4	MacLane II.7: O-graphs, the composable-pairs product, and categories as monoids
maclane:II.7:def3	ABSENT	#294	4	MacLane II.7: O-graphs, the composable-pairs product, and categories as monoids
maclane:II.7:remark1	ABSENT	#294	4	MacLane II.7: O-graphs, the composable-pairs product, and categories as monoids
maclane:II.7:remark3	PARTIAL	#295	4	MacLane II.7: Concrete free categories and free finite ordinals
maclane:II.7:ex2	ABSENT	#295	4	MacLane II.7: Concrete free categories and free finite ordinals
maclane:II.7:cor2	PARTIAL	#296	4	MacLane II.7: The free monoid and its universal property
maclane:II.7:ex1	ABSENT	#297	4	MacLane II.7: Opposite and product graphs
maclane:II.7:ex3	ABSENT	#298	4	MacLane II.7: The free groupoid on a graph and free groups
maclane:II.8:prop1	PARTIAL	#299	4	MacLane II.8: The least congruence and presented categories
maclane:II.8:def1	PARTIAL	#299	4	MacLane II.8: The least congruence and presented categories
maclane:II.8:def2	PARTIAL	#299	4	MacLane II.8: The least congruence and presented categories
maclane:II.8:ex1	ABSENT	#300	4	MacLane II.8: The walking commutative square by generators and relations
maclane:II.8:ex2	ABSENT	#301	4	MacLane II.8: Group congruences are normal subgroups
maclane:II.2:construction2	PARTIAL	#227	4	also covered by existing issue
maclane:II.2:construction3	ABSENT	#237	4	also covered by existing issue
maclane:II.3:ex4	ABSENT	#221	4	also covered by existing issue
maclane:II.8:remark1	ABSENT	#260	4	also covered by existing issue
maclane:II.1:remark1	PRESENT	-	-	Construction/Opposite.v:126 op_invol
maclane:II.2:construction4	PRESENT	-	-	Functor/Hom.v:60 Curried_Hom
maclane:II.2:construction5	PRESENT	-	-	Functor/Hom.v:146 Curried_CoHom
maclane:II.2:construction6	PRESENT	-	-	Instance/Sets.v:188 Sets
maclane:II.2:def1	PRESENT	-	-	Construction/Opposite.v:106 Opposite
maclane:II.2:def2	PRESENT	-	-	Functor/Opposite.v:56 contramap
maclane:II.2:remark1	PRESENT	-	-	Functor/Hom.v:49 Hom
maclane:II.3:construction1	PRESENT	-	-	Construction/Product.v:149 Fst
maclane:II.3:construction2	PRESENT	-	-	Functor/Construction/Product.v:34 ProductFunctor
maclane:II.3:construction3	PRESENT	-	-	Functor/Product/Internal.v:34 InternalProductFunctor
maclane:II.3:construction4	PRESENT	-	-	Functor/Hom.v:49 Hom
maclane:II.3:def1	PRESENT	-	-	Construction/Product.v:95 Product
maclane:II.3:def2	PRESENT	-	-	Functor/Bifunctor.v:38 bimap
maclane:II.3:remark1	PRESENT	-	-	Construction/Product.v:185 Product_Opposite
maclane:II.3:remark2	PRESENT	-	-	Adjunction/Hom.v:72 Adjunction_Hom / hom_adj
maclane:II.4:def1	PRESENT	-	-	Instance/Fun.v:108 Fun
maclane:II.5:construction1	PRESENT	-	-	Theory/Natural/Transformation.v:283 nat_hcompose
maclane:II.5:construction2	PRESENT	-	-	Functor/Hom/Internal.v:40 InternalHomFunctor
maclane:II.5:def1	PRESENT	-	-	Theory/Natural/Transformation.v:329 whisker_right
maclane:II.5:ex1	PRESENT	-	-	Instance/Cat/Cartesian/Closed.v:47 Cat_Closed
maclane:II.5:ex3	PRESENT	-	-	Instance/Cat/Bicategory.v:64 Cat_Hcompose
maclane:II.5:remark1	PRESENT	-	-	Theory/Bicategory/Adjunction.v:79 hcomp2_comp
maclane:II.5:remark2	PRESENT	-	-	Functor/Bifunctor.v:68 bimap_comp
maclane:II.6:def1	PRESENT	-	-	Construction/Slice.v:169 Coslice
maclane:II.6:def2	PRESENT	-	-	Construction/Slice.v:123 Slice
maclane:II.6:def3	PRESENT	-	-	Construction/Comma.v:127 Comma
maclane:II.6:def4	PRESENT	-	-	Construction/Comma.v:127 Comma
maclane:II.7:construction1	PRESENT	-	-	Construction/Free/Quiver.v:398 QuiverOfCat
maclane:II.7:construction2	PRESENT	-	-	Construction/Free/Quiver.v:431 FreeOnQuiver
maclane:II.7:construction3	PRESENT	-	-	Construction/Free/Quiver.v:412 Forgetful
maclane:II.7:def1	PRESENT	-	-	Construction/Free/Quiver.v:54 Quiver
maclane:II.7:def4	PRESENT	-	-	Construction/Free/Quiver.v:205 QuiverHomomorphism
maclane:II.7:remark2	PRESENT	-	-	Theory/Universal/Arrow.v:127 UniversalArrow
maclane:II.7:thm1	PRESENT	-	-	Construction/Free/Quiver.v:518 UniversalArrowQuiverCat
maclane:III.1:def3	PARTIAL	#302	4	MacLane III.1: Couniversal arrows (universal arrows from a functor to an object)
maclane:III.1:def2	PARTIAL	#303	4	MacLane III.1: Universal elements as first-class structures
maclane:III.1:remark3	PARTIAL	#303	4	MacLane III.1: Universal elements as first-class structures
maclane:III.1:remark4	PARTIAL	#304	4	MacLane III.1: Kernels as universals for a contravariant functor
maclane:III.1:construction1	ABSENT	#305	4	MacLane III.1: The free vector space on a set as a universal arrow
maclane:III.1:construction6	ABSENT	#306	4	MacLane III.1: The tensor product as a universal element of the bilinear-maps functor
maclane:III.1:construction2	ABSENT	#307	4	MacLane III.1: The field of quotients as a universal arrow
maclane:III.1:construction3	ABSENT	#308	4	MacLane III.1: Metric-space completion as a universal arrow
maclane:III.1:remark2	PARTIAL	#309	4	MacLane III.1: Free modules and polynomial rings as universal arrows
maclane:III.1:ex7	ABSENT	#309	4	MacLane III.1: Free modules and polynomial rings as universal arrows
maclane:III.1:ex1	ABSENT	#310	4	MacLane III.1: Group rings, tensor algebras, and exterior algebras as universal arrows
maclane:III.1:ex2	PARTIAL	#311	4	MacLane III.1: A universal element for the contravariant power-set functor
maclane:III.1:ex3	ABSENT	#312	4	MacLane III.1: Universal arrows to the standard forgetful functors
maclane:III.1:construction5	ABSENT	#313	4	MacLane III.1: Quotient groups and the isomorphism theorems by universality
maclane:III.1:ex4	ABSENT	#313	4	MacLane III.1: Quotient groups and the isomorphism theorems by universality
maclane:III.1:ex5	ABSENT	#314	4	MacLane III.1: Quotient modules and quotient rings by universality
maclane:III.1:ex6	ABSENT	#314	4	MacLane III.1: Quotient modules and quotient rings by universality
maclane:III.1:construction4	PARTIAL	#315	4	MacLane III.1: Quotient setoids and coequalizers in Sets
maclane:III.3:remark2	ABSENT	#315	4	MacLane III.1: Quotient setoids and coequalizers in Sets
maclane:III.3:ex5	ABSENT	#315	4	MacLane III.1: Quotient setoids and coequalizers in Sets
maclane:III.2:lem2	PARTIAL	#316	4	MacLane III.2: Naturality of the Yoneda isomorphism in both variables
maclane:III.2:ex1	PARTIAL	#317	4	MacLane III.2: Representations are functorial in natural transformations
maclane:III.2:ex4	ABSENT	#318	4	MacLane III.2: Naturality is unchanged by enlarging the codomain
maclane:III.2:remark1	PARTIAL	#318	4	MacLane III.2: Naturality is unchanged by enlarging the codomain
maclane:III.2:ex3	ABSENT	#319	4	MacLane III.2: Kan's coyoneda lemma over the category of elements
maclane:III.3:def2	PARTIAL	#320	4	MacLane III.3: Indexed coproducts
maclane:III.4:def4	PARTIAL	#321	4	MacLane III.4: Powers and copowers of an object
maclane:III.3:def3	ABSENT	#321	4	MacLane III.4: Powers and copowers of an object
maclane:III.3:construction2	PARTIAL	#322	4	MacLane III.3: Wide equalizers and wide coequalizers
maclane:III.3:def7	PARTIAL	#323	4	MacLane III.3: Cokernel pairs and the pushout characterization of epimorphisms
maclane:III.4:ex4	ABSENT	#323	4	MacLane III.3: Cokernel pairs and the pushout characterization of epimorphisms
maclane:III.3:remark1	PARTIAL	#324	4	MacLane III.3: Coproducts in the familiar algebraic and topological categories
maclane:III.3:ex1	ABSENT	#324	4	MacLane III.3: Coproducts in the familiar algebraic and topological categories
maclane:III.3:remark3	PARTIAL	#325	4	MacLane III.3: Pushouts in Grp and Top; amalgamated products
maclane:III.3:ex2	PARTIAL	#326	4	MacLane III.4: Interdefinability of the finite (co)limit constructions
maclane:III.4:ex7	ABSENT	#326	4	MacLane III.4: Interdefinability of the finite (co)limit constructions
maclane:III.4:ex9	ABSENT	#326	4	MacLane III.4: Interdefinability of the finite (co)limit constructions
maclane:III.4:ex10	ABSENT	#326	4	MacLane III.4: Interdefinability of the finite (co)limit constructions
maclane:III.3:ex3	ABSENT	#327	4	MacLane III.3: Coequalizers in the matrix category
maclane:III.3:ex4	PARTIAL	#328	4	MacLane III.3: Coproducts in Mon and Grph
maclane:III.3:remark4	PARTIAL	#329	4	MacLane III.3: Chain unions as colimits and the cocompleteness of Sets
maclane:III.3:ex7	ABSENT	#330	4	MacLane III.3: An abelian group is the colimit of its finitely generated subgroups
maclane:III.4:remark3	PARTIAL	#331	4	MacLane III.4: Hom-functors preserve products and limits
maclane:III.4:def8	PARTIAL	#332	4	MacLane III.4: Graph-shaped diagrams and their limits
maclane:III.4:remark6	PARTIAL	#332	4	MacLane III.4: Graph-shaped diagrams and their limits
maclane:III.4:ex1	PARTIAL	#333	4	MacLane III.4: Pullbacks and kernel pairs in Sets
maclane:III.4:ex6	PARTIAL	#333	4	MacLane III.4: Pullbacks and kernel pairs in Sets
maclane:III.4:ex3	ABSENT	#334	4	MacLane III.4: Limits along an index category with an initial object
maclane:III.5:prop1	PARTIAL	#335	4	MacLane III.5: All finite products from a terminal object and binary products
maclane:III.5:remark1	PARTIAL	#336	4	MacLane III.5: The matrix calculus from finite coproducts to finite products
maclane:III.5:remark2	PARTIAL	#336	4	MacLane III.5: The matrix calculus from finite coproducts to finite products
maclane:III.5:ex3	ABSENT	#337	4	MacLane III.5: Cat has pullbacks and comma categories are pullbacks in Cat
maclane:III.5:ex4	PARTIAL	#338	4	MacLane III.5: Cat has small coproducts
maclane:III.5:ex5	PARTIAL	#339	4	MacLane III.5: Pointwise finite products in functor categories
maclane:III.6:remark1	PARTIAL	#340	4	MacLane III.6: Ring and lattice objects by internalization
maclane:III.6:prop1	ABSENT	#341	4	MacLane III.6: Group objects through their representable functors
maclane:III.6:remark2	ABSENT	#341	4	MacLane III.6: Group objects through their representable functors
maclane:III.6:ex3	ABSENT	#342	4	MacLane III.6: Pointwise group objects in functor categories
maclane:III.6:ex1	PARTIAL	#343	4	MacLane III.6: The categories of internal monoids and groups have finite products
maclane:III.6:ex2	ABSENT	#343	4	MacLane III.6: The categories of internal monoids and groups have finite products
maclane:III.6:ex4	ABSENT	#344	4	MacLane III.6: Groups in Grp are abelian groups
maclane:III.7:construction1	PARTIAL	#345	4	MacLane III.7: The category of elements of a set-valued functor
maclane:III.7:thm1	PARTIAL	#346	4	MacLane III.7: The density theorem: set-valued functors as colimits of representables
maclane:III.7:remark1	PARTIAL	#346	4	MacLane III.7: The density theorem: set-valued functors as colimits of representables
maclane:III.4:ex2	PARTIAL	#254	4	also covered by existing issue
maclane:III.1:construction7	PRESENT	-	-	Functor/Diagonal.v:46 Diagonal_Product
maclane:III.1:def1	PRESENT	-	-	Theory/Universal/Arrow.v:240 AUniversalArrow
maclane:III.1:remark1	PRESENT	-	-	Theory/Universal/Arrow.v:127 UniversalArrow
maclane:III.2:construction1	PRESENT	-	-	Functor/Hom.v:60 Curried_Hom
maclane:III.2:cor1	PRESENT	-	-	Functor/Hom.v:96 Yoneda_Full
maclane:III.2:def1	PRESENT	-	-	Functor/Representable.v:46 Representable
maclane:III.2:ex2	PRESENT	-	-	Functor/Hom/Yoneda.v:133 Yoneda_Lemma
maclane:III.2:lem1	PRESENT	-	-	Functor/Hom/Yoneda.v:182 Covariant_Yoneda_Lemma
maclane:III.2:prop1	PRESENT	-	-	Structure/UniversalProperty/Universal/Arrow.v:61 UniversalArrowIsUniversalProperty
maclane:III.2:prop2	PRESENT	-	-	Structure/UniversalProperty.v:72 representability_by_yoneda
maclane:III.3:construction1	PRESENT	-	-	Structure/Cocartesian.v:151 cover
maclane:III.3:construction3	PRESENT	-	-	Instance/Roof.v:29 RoofObj
maclane:III.3:def1	PRESENT	-	-	Structure/Cocartesian.v:115 Cocartesian
maclane:III.3:def4	PRESENT	-	-	Structure/Kernel.v:58 IsCokernel
maclane:III.3:def5	PRESENT	-	-	Structure/Coequalizer.v:52 IsCoequalizer
maclane:III.3:def6	PRESENT	-	-	Structure/Pushout.v:47 IsPushout
maclane:III.3:def8	PRESENT	-	-	Structure/Limit.v:158 Colimit
maclane:III.3:def9	PRESENT	-	-	Structure/Cone.v:72 Cocone
maclane:III.3:ex6	PRESENT	-	-	Structure/UniversalProperty/Limit.v:141 LimitIsUniversalProperty
maclane:III.4:def1	PRESENT	-	-	Structure/Limit.v:113 Limit
maclane:III.4:def2	PRESENT	-	-	Structure/Cartesian.v:121 Cartesian
maclane:III.4:def3	PRESENT	-	-	Structure/Limit/Product.v:51 IsIndexedProduct
maclane:III.4:def5	PRESENT	-	-	Structure/Equalizer.v:120 Equalizer
maclane:III.4:def6	PRESENT	-	-	Structure/Pullback.v:161 Pullback
maclane:III.4:def7	PRESENT	-	-	Structure/Regular.v:46 kernel_pair
